"date","close","volume","open","high","low"
"10:17","156.67","9,283,193","155.48","157.07","154.32"
"2019/01/24","152.7000","25418110.0000","154.1100","154.4800","151.7400"
"2019/01/23","153.9200","23046560.0000","154.1500","155.1400","151.7000"
"2019/01/22","153.3000","30273990.0000","156.4100","156.7300","152.6200"
"2019/01/18","156.8200","33259460.0000","157.5000","157.8800","155.9806"
"2019/01/17","155.8600","29616190.0000","154.2000","157.6600","153.2600"
"2019/01/16","154.9400","30483120.0000","153.0800","155.8800","153.0000"
"2019/01/15","153.0700","28449940.0000","150.2700","153.3900","150.0500"
"2019/01/14","150.0000","32018540.0000","150.8500","151.2700","149.2200"
"2019/01/11","152.2900","26924630.0000","152.8800","153.7000","151.5100"
"2019/01/10","153.8000","35661200.0000","152.5000","153.9700","150.8600"
"2019/01/09","153.3100","45034370.0000","151.2900","154.5300","149.6300"
"2019/01/08","150.7500","40622910.0000","149.5600","151.8200","148.5200"
"2019/01/07","147.9300","54571440.0000","148.7000","148.8300","145.9000"
"2019/01/04","148.2600","57423650.0000","144.5300","148.5499","143.8000"
"2019/01/03","142.1900","91106840.0000","143.9800","145.7200","142.0000"
"2019/01/02","157.9200","35637070.0000","154.8900","158.8500","154.2300"
